"year","no_cnip","total_persons","fips_county_code","fips_state_code","housing_units_total","no_vacant","no_poverty","no_white","no_black","no_native","no_asian","no_hispanic","no_unemployed"
"2013",958166,1660303,"085","06",636190,26813,181376,900332,47869,9634,771292,485593,92839
"2013",140973,245088,"087","06",104613,11109,37239,215390,2599,1481,34299,85703,13123
"2013",78234,163493,"089","06",77453,8473,30575,155190,1691,4334,8813,15419,10488
"2013",1269,2944,"091","06",2256,1003,599,2866,18,35,151,281,129
"2013",19191,40964,"093","06",23981,4564,9216,38396,574,1268,1364,4799,2862
"2013",207857,384676,"095","06",153180,11716,52358,223454,58536,2489,101741,102082,25056
"2013",258617,448810,"097","06",205078,19418,57048,389753,7648,6402,66049,122818,26411
"2013",244228,470625,"099","06",179591,12708,104173,396550,14635,4243,80325,220267,40996
"2013",43782,86383,"101","06",33908,2183,15596,63332,1735,1399,22844,27538,6552
"2013",26712,57794,"103","06",27023,3649,12271,55071,442,1426,3829,14226,4217
"2013",5406,12633,"105","06",8705,3037,2579,12003,127,273,341,957,854
"2013",197571,399915,"107","06",142926,11284,115313,359118,7503,5856,58692,273533,28726
"2013",22953,51059,"109","06",31277,9252,7411,47788,1156,820,2904,5982,3965
"2013",430468,759430,"111","06",282231,15155,90471,629868,15179,6007,143597,337773,41171
"2013",101569,187045,"113","06",75348,5001,37188,134753,5145,2323,48169,62047,10585
"2013",29854,65529,"115","06",27734,3434,15392,50623,2190,1081,13370,18692,5776
"2013",238934,410089,"001","08",163512,10709,63540,363206,14314,4548,53621,172472,23803
"2013",7291,14546,"003","08",6582,691,3924,13052,219,250,1593,7265,841
"2013",323514,537151,"005","08",239158,13606,69949,437019,58642,4058,60126,107841,28491
"2013",6129,11431,"007","08",8774,3893,1161,10694,60,290,791,2183,626
"2013",1909,3299,"009","08",2243,592,551,3574,20,58,46,348,72
"2013",1764,5723,"011","08",2219,346,782,5015,663,186,165,1893,211
"2013",172422,280423,"013","08",127704,7183,41412,263961,2598,1331,24571,40484,12668
"2013",31905,52441,"014","08",23211,1195,4032,49804,534,144,4657,6775,2077
"2013",8816,16925,"015","08",10099,2267,1358,17055,396,225,219,1769,662
"2013",1189,1931,"017","08",1047,208,154,2129,6,5,25,297,51
