"coc.number","year","beds_current","beds_new","beds_dev","beds_facility","beds_other","beds_voucher","coc.state","sample","beds_es","beds_th","beds_rrh","beds_sh","beds_psh","beds_total"
"ct-503",2017,2790,22,0,618,17,0,"ct","hic extra",NA,NA,NA,NA,NA,NA
"ct-503",2018,2969,37,7,623,22,0,"ct","hic extra",NA,NA,NA,NA,NA,NA
"ct-505",2014,5295,400,210,1529,52,5,"ct","hic extra",NA,NA,NA,NA,NA,NA
"ct-505",2015,6400,137,331,1687,82,5,"ct","hic extra",NA,NA,NA,NA,NA,NA
"ct-505",2016,8119,384,95,2100,42,0,"ct","hic extra",NA,NA,NA,NA,NA,NA
"ct-505",2017,8148,428,211,2071,34,0,"ct","hic extra",NA,NA,NA,NA,NA,NA
"ct-505",2018,8035,840,138,2006,33,588,"ct","hic extra",NA,NA,NA,NA,NA,NA
"dc-500",2014,14647,2214,107,5780,217,0,"dc","hic extra",NA,NA,NA,NA,NA,NA
"dc-500",2015,14647,1618,199,5545,0,0,"dc","hic extra",NA,NA,NA,NA,NA,NA
"dc-500",2016,19928,1906,1120,6926,0,0,"dc","hic extra",NA,NA,NA,NA,NA,NA
"dc-500",2017,20108,285,929,6312,0,0,"dc","hic extra",NA,NA,NA,NA,NA,NA
"dc-500",2018,20674,347,192,6039,0,0,"dc","hic extra",NA,NA,NA,NA,NA,NA
"de-500",2014,1906,84,8,609,23,10,"de","hic extra",NA,NA,NA,NA,NA,NA
"de-500",2015,2018,146,102,615,47,41,"de","hic extra",NA,NA,NA,NA,NA,NA
"de-500",2016,2009,131,37,627,85,38,"de","hic extra",NA,NA,NA,NA,NA,NA
"de-500",2017,2139,100,0,566,67,50,"de","hic extra",NA,NA,NA,NA,NA,NA
"de-500",2018,2338,70,0,649,134,35,"de","hic extra",NA,NA,NA,NA,NA,NA
"fl-500",2014,1183,43,0,490,0,23,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-500",2015,1132,104,11,527,0,36,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-500",2016,1135,215,0,508,0,0,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-500",2017,1427,187,0,698,0,0,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-500",2018,1444,130,0,707,0,27,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-501",2014,2099,482,317,479,0,13,"fl","hic extra",NA,NA,NA,NA,NA,NA
"fl-501",2015,2662,519,60,748,0,6,"fl","hic extra",NA,NA,NA,NA,NA,NA
