"coc.number.new","year","beds_current","beds_new","beds_dev","beds_facility","beds_other","beds_voucher","beds_es","beds_th","beds_rrh","beds_sh","beds_psh","beds_total","d.sample.bos.statewide","d.sample.esg.2013.2019","d.sample.coc.2013.2019","d.sample.suburban","d.sample.rural","d.sample.urban","d.sample.majorcity","d.sample.merged"
"ca-522",2015,397,0,0,36,0,55,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"ca-522",2016,406,0,0,97,0,48,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"ca-522",2017,530,0,0,311,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"ca-522",2018,481,0,0,269,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"ca-525",2014,184,0,0,44,45,8,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"ca-525",2015,150,0,0,54,17,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"ca-525",2016,354,0,0,55,50,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"ca-525",2017,322,0,0,59,27,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"ca-525",2018,312,0,0,69,65,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"ca-526",2014,186,40,3,95,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"ca-526",2015,329,5,0,107,18,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"ca-526",2016,385,0,0,107,24,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"ca-526",2017,272,1,0,103,0,28,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"ca-526",2018,334,5,0,108,0,37,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"ca-600",2014,28516,2011,1340,5728,0,1339,0,0,0,0,0,0,0,1,1,0,0,0,1,0
"ca-600",2015,32400,2854,1363,5810,31,2755,0,0,0,0,0,0,0,1,1,0,0,0,1,0
"ca-600",2016,32708,3647,2693,5317,76,1934,0,0,0,0,0,0,0,1,1,0,0,0,1,0
